1.0	it	2015-10-16 11:40:32Z
Arc		Arco
Arc CCW		Arco CCW
Arc CCW.info	Rule for a counter clockwise arc feed move.	Imposta un movimento in senso antiorario dell'arco
Arc Center Absolute		Centro Arco Assoluto
Arc Center Absolute.info	Used in the {$mop.header} macro to specify that ArcCenterMode is set to Absolute.\r\nMach3 recognizes G90.1	Utilizzato nella macro{$mop.header} per specificare che Modo Centro Arco è impostato su Assoluto.\r\nMach3 riconosce G90.1
Arc Center Incremental		Centro Arco Incrementale
Arc Center Incremental.info	Used in the {$mop.header} macro to specify that ArcCenterMode is set to Incremental.\r\nMach3 recognizes G91.1	Utilizzato nella macro {$mop.header}  per specificare che Modo Centro Arco è impostata su incrementale.\r\n Mach3 riconosce G91.1
Arc Center Mode		Modo Centro Arco
Arc Center Mode.info	NOTE:  This only affects the arc I,J coordinates.  It does not affect G90/G91 codes	NOTA: Questo riguarda solo le coordinate I,J dell'arco. Non influisce sui codici G90/G91 
Arc Center Mode.info:MachiningOptions	If Default, then uses post processor setting.	Se Default, usa le impostazione del post processore.
Arc CW		Arco CW
Arc CW.info	Rule for a clockwise arc feed move.	Imposta un movimento in senso orario dell'arco.
Arc Display Degrees		Gradi per l'Arco
Arc Display Degrees.info	Arcs are displayed using multiple line segments.  This setting defines the angle between each segment. Smaller numbers make smoother curves but slower display rates	Gli archi vengono visualizzati utilizzando segmenti di linea. Questa impostazione definisce l'angolo tra ogni segmento. Piccoli numeri generano curve più arrotondate ma la visualizzazione è più lenta
Arc Expand Tolerance		Tolleranza espansione Arco
Arc Fit		Adattamento Curva
Arc Fit Tolerance		Tolleranza Adattamento Curva
Arc Output		Generazione Arco
Arc Output All Axis		Tutti gli Assi dell'Arco
Arc Output All Axis.info	Controls whether to output all the axis values for G02/G03 moves.	Controlla i valori di output di tutti gli assi per movimenti G02/G03.
Arc Output.info	Controls how arcs are output to gcode	Controlla come gli archi vengono generati nel GCode
Arc To Lines Tolerance		Tolleranza da Arco a Linee
Arc To Lines Tolerance.info	If ArcOutput=ConverToLines is used, this value determines the allowed error.\nSmaller tolerances will result in smoother curves, but larger files.	Se viene utilizzato "Generazione Arco" = Converti in Linee, questo valore determina l'errore consentito. Tolleranze più piccole si traducono in curve più arrotondate, ma in file di dimensioni maggiori.
ARC_EDIT_1	Enter first arc point or esc	Inserisci il primo punto dell'arco o ESC
ARC_EDIT_2	Enter second arc point	Inserisci secondo punto dell'arco
ARC_EDIT_3	Enter arc center, hold SHIFT to invert the arc	Inserisci il centro dell'arco, tenere premuto SHIFT per invertire l'arco
Arc_Fit	Arc fit	Adattamento Curva
Arcs Centers		Centri dell'Arco
ArcText Plugin		ArcText Plugin
Array Copy		Copia in serie
Array_Copy	Array copy	Copia in serie
Auto		Auto
Auto Arc Fitting		Auto Aggiusta Arco
Auto Arc Fitting.info	Whether to apply arc fitting in certain drawing operations (such as plane slicing).	Applica l'auto aggiustamento dell'arco per alcune operazioni di disegno (ad esempio nello "slicing" di un piano).
Auto Arc Fitting.info:CAMStyle	Whether to apply arc fitting.	Applica l'auto aggiustamento dell'arco.
Auto-Apply Transformations		Auto-applica le trasformazioni
Auto-Apply Transformations.info	If True, transformations such as rotations, moving, resizing and array copies will automatically apply transformations and reset the transformation matrix.	Se Vero, trasformazioni come rotazione, spostamento, ridimensionamento e copie di matrice sono applicate automaticamente e viene impostata la matrice di trasformazione.
Autocalc		Calcolo Automatico
Autocalc_Holding_Tabs	Autocalc holding tabs	Calcolo automatico Fermi
Automatic		Automatico
Automatic (Inner)		Automatico (Interno)
Automatic (Outer)		Automatico (Esterno)
Axial Depth Of Cut		Profondità di taglio assiale
Axial Depth Of Cut.info	Recommended  axial depth of cut.\r\nNot currently used for toolpath generation!	Profondità di taglio assiale consigliata. Non è attualmente utilizzato per la generazione di PU!
Axis		Asse
Axis Setup		Impostazione Asse
B Axis		Asse B
B Axis.info		Il valore di B
Back Face		Faccia posteriore
Back Face Culling		Faccia Posteriore scartata
Back Face Culling.info	Enabling back face culling can improve performance if mesh is well formed.	Abilita lo scarto della faccia posteriore, può migliorare le prestazioni se la mesh è ben formata.
Back Face Zero Z		Faccia Posteriore Zero Z 
Back Face Zero Z.info	The current Z offset that will be at Z=0 when the model is rotated to do the back face.	Il valore di offset Z che sarà a Z = 0 quando il modello viene ruotato per lavorare la faccia posteriore.
Back Face.info	If False then machine the front face of the model.\r\nIf True then machine the back face.	Se Vero la macchina lavora la faccia posteriore.\r\n\r\nSe Falso la macchina lavora la faccia anteriore del modello.
Backface Culling		Faccia Posteriore scartata
Backface Culling.info	When displaying surface meshes, faces with back facing normals (using right hand rule) are not displayed.	Quando si visualizzano superfici 3D (Mesh), le facce con il retro rivolto verso le normali (usando la regola della mano destra) non vengono visualizzate
Background Color		Colore di sfondo
Background Color.info		Colore di Sfondo
Backlash		Gioco
Backlash.info		Gioco (Backslash)
Ball Nose		Fresa tonda
Bas Relief		Bassorilievo
Basic		Di base
Biomorph		Biomorfo
BitmapFiles	Bitmap Files	I file Bitmap
Bohrungen.TargetDepth		profondità prevista di foratura.
Bold		Grassetto
Bold.info	Bold font style.	Stile del carattere: grassetto.
Bottom		Fondo
Bottom+Left		In basso a sinistra 
Bottom+Right		In basso a destra 
Boundary		Contorno
Boundary Margin		Margine di Contorno
Boundary Margin.info	Distance around boundary shapes to machine.	Distanza intorno al contorno delle figure da lavorare.
Boundary Method		Metodo di Contorno
Boundary Method.info	Method to use to limit toolpaths to boundary shapes.	Metodo da utilizzare per limitare i PU al contorno della figura
Boundary Shape IDs		ID Contorno della Forma
Boundary Shape IDs.info	List of drawing objects to use as toolpath boundary	Elenco degli oggetti di disegno da utilizzare come contorno PU
Boundary Taper		Rastremazione Contorno 
Boundary Taper.info	Angle in degrees from vertical to taper the outer boundary edge.	Angolo in gradi per la rastremazione del bordo esterno del contorno. 
Bounding Box		Rettangolo di selezione
Break at Intersections		Dividi alle Intersezioni
Break At Points		Dividi nei Punti
Break_At_Intersections	Break at intersections	Dividi alle intersezioni
Break_At_Points	Break at points	Dividi nei punti
Browse gcode folder		Sfoglia cartella gcode
Browse system folder		Sfoglia cartella di sistema
Build Date		Realizzato
Bull Nose		Bull Nose
C Axis		Asse C
C Axis.info		Asse C.info
Cache Conflict Action		Cache Conflitto d'azione
Cache Conflict Action.info	Action to take when style properties are not found or have changed current default values.	Azione da intraprendere quando le proprietà di stile non si trovano o sono cambiati i valori predefiniti.
CAD Extras		Aggiunte a CAD
calc		calc
Calculate		Calcolare
CAM Styles		Stili CAM
CAM_Styles	CAM Styles	Stili CAM
CamBam		CamBam
CamBam Home Page		CamBam Home Page
CAMBAM_THINKING	CamBam is thinking...	CamBam sta elaborando........
CamBamFiles	CamBam Files	file di CamBam
Cancel		Annullare
Cancel Action		Annulla azione
Cancel current action		Annulla azione corrente
CANCEL_OPERATION	Cancel current operation?	Annullare l'operazione in corso?
CanConvertToPolylines		Possibile convertire in polilinee
CanConvertToPolylines.info		è possibile convertire in polilinee
Canned Cycle		Ciclo Fisso
Canned Cycle End		Fine del ciclo fisso
Canned Cycle End.info	Code used at the start of a group of canned cycles.	Codice utilizzato alla fine di un gruppo di cicli fissi.\nCancella il modo movimento (incluso qualsiasi ciclo)
Canned Cycle Start		Inizio ciclo fisso
Canned Cycle Start.info	Code used at the start of a group of canned cycles.	Codice utilizzato all'inizio di un gruppo di cicli fissi.\nLivello iniziale di ritorno dai cicli (G81..G89)
Canned Cycles		Cicli Fissi
Cannot explode {0}		Non è possibile esplodere {0}
CCW		CCW
Center		Centro
Center (Extents)		Centra (rds)
Center (Of Points)		Centra (media punti)
Center.info	The location of the circle center point.	La posizione del centro del cerchio.
Center.info:Arc	The center point of the arc.	Il punto centrale dell'arco.
Centers		Centri
Centimeters		Centimetri
CHANGING_DEPTHINCREMENT	Changing DepthIncrement to be +ve	Modifica Incremento di profondità per essere + ve
CHANGING_FINALDEPTHINCREMENT	Changing FinalDepthIncrement to be +ve	Modifica Incremento Finale di Profondità per essere + ve
CHANGING_TARGETDEPTH	TargetDepth > StockSurface : Changing TargetDepth = -TargetDepth	Profondità di taglio > Superficie Grezzo: Modifica Profondità di taglio  = -  Profondità di taglio
Char Space		Spazio 
Char Space.info	Used to space characters along a line.\n1.0 is the default size.\n2.0 would double the character spacing.	Usato per spazi lungo una linea.\n 1.0 è la dimensione predefinita.\n 2,0 raddoppierebbe la spaziatura dei caratteri.
Char Space.info:MText	Used to space characters along a line.\r\n1.0 is the default size.\r\n2.0 would double the character spacing.	Usato per spazi lungo una linea.\n 1.0 è la dimensione predefinita.\n 2,0 raddoppierebbe la spaziatura dei caratteri.
Check for new version		Verifica la presenza di nuove versioni
Check Version At Start		Verifica Versione All'avvio
Check Version At Start.info	If True, the program will check for updates from the internet when it loads.	Se Vero, il programma controlla gli aggiornamenti in Internet durante il caricamento.
Circle		Cerchio
CIRCLE_EDIT_1	Enter circle center point or esc	Inserisci il punto centrale del cerchio  o <ESC>
CIRCLE_EDIT_2	Enter a point on the circle	Inserire un punto sul cerchio
Clean		Pulisci
Cleaning Tolerance		Tolleranza di Pulizia
Clear		Svuota
Clear messages		Cancella i Messaggi 
Clear_Layer	Clear layer	Livello trasparente
Clearance Plane		Piano di Sicurezza
Clearance Plane Axis		Asse Piano di Sicurezza 
Clearance Plane Axis.info	Used to specify which direction clearance moves are made.\nUsually Z, but may be set to X or Z for lathe operations.	Utilizzato per specificare in quale direzione si muove l'asse per il piano di sicurezza. Di solito Z, ma può essere impostato su X o Z per operazioni di tornitura.
Clearance Plane.info	The 'safe' Z location to return before a rapid to a new location.	La  posizione 'sicura'  di Z  a cui andare prima di un  rapido per una nuova posizione.
Clearance Plane.info:CAMStyle	The clearance plane (offset from the work plane)	Il piano di sicurezza (rispetto alla superficie di lavoro)
Click to calculate the number of teeth from the tooth size and pitch diameter.		Clicca per calcolare il numero di denti, dalla dimensione dei denti e dall diametro della ruota.
Click to calculate the pitch diameter from the tooth size and number of teeth.		Clicca per calcolare il diametro della ruota dalla dimensione dei denti e dal numero dei denti.
Click to calculate the tooth size from the number of teeth and pitch diameter.		Clicca per calcolare le dimensioni del dente dal numero dei denti e dal diametro della ruota.
CLICK_OK_TO_CONFIRM	Click OK to confirm.	Fare clic su OK per confermare.
Climb		Concorde
Clip Area Max		Clip Area Max
Clip Area Max.info	A 2D Point, used with ClipAreaMin to define a clipping area.\r\nIf ClipAreaMax and ClipAreaMin coordinates are both 0, the 3d machining area will not be clipped.	Un punto 2D, usata con ClipAreaMin per definire un'area di ritaglio. Se le coordinate ClipAreaMax e ClipAreaMin sono entrambi 0, l'area di lavorazione 3D non sarà tagliata.
Clip Area Min		Clip Area Min
Clip Area Min.info	A 2D Point, used with ClipAreaMax to define a clipping area.\r\nIf ClipAreaMax and ClipAreaMin coordinates are both 0, the 3d machining area will not be clipped.	Un punto 2D, usata con ClipAreaMax per definire un'area di ritaglio. Se le coordinate ClipAreaMax e ClipAreaMin sono entrambi 0, l'area di lavorazione 3D non sarà tagliata.
Clock Face		Quadrante di orologio
Close		Chiude
Closed		Chiuso
Closed.info	Open - polyline has two ends and no defined inside or outside.\r\nClosed - the first and last points are the same and has a well defined inside and outside.	Vero - La Polilinea possiede due estremità unite (Chiusa).\nFalso - La Polilinea possiede due estremità separate (Aperta).
Coating		Rivestimento
Coating.info	Tool coating.	Rivestimento Utensile
Collision Detection		Rilevamento collisione
Collision Detection.info	Makes sure adjacent toolpaths do not overlap by unioning them together.	Assicura che percorsi adiacenti non si sovrappongono quando sono unificati.
Color		Colore
Color.info	Color used to draw objects within this layer.	Colore usato per disegnare oggetti all'interno di questo Livello.
Color.info:StockDef	Color used to display the stock.	Colore usato per visualizzare la superfice del materiale.
Colors		Colori
Columns		Colonne
Columns.info	Number of columns when using a grid nest method.	Numero di colonne quando si utilizza una modalità  griglia nidificata.
Comment		Inizio Commento
Comment.info	Rule for an opening comment character.\r\nUsed by {$comment} macro.	Regola per un carattere di inizio commento.\r\nUsato dalla macro {$comment}.
Compile (F5)		Compilazione (F5)
Concave Radius		Raggio concavo
Configuration		Configurazione
Constant Velocity		Velocità costante
Contents		Contenuto
Control Point Tolerance		Tolleranza Punto di controllo 
Control Point Tolerance.info		Tolleranza Punto di controllo 
Control Points		Punti di controllo
Control Points.info		Punti di Controllo
Conventional		Discorde
Convert To		Converti a
Convert To Lines		Converti in linee
Convert_To_Polyline	Convert to polyline	Convertire in polilinea
Convert_To_Region	Convert to region	Convertire in regione
Convex Radius		Raggio Convesso
Copy		Copia
Copyright		Copyright
Corner Overcut		Sovrataglio Angoli 
Corner Overcut.info	Add a move to cut corners otherwise too narrow for cutter.	Aggiunge un movimento per tagliare gli angoli troppo stretti per l'Utensile.
Corner Overcut.info:CAMStyle	Add a move to cut corners otherwise to narrow for cutter.	Aggiunge un movimento per tagliare gli angoli troppo stretti per l'Utensile.
Corner Radius		Raggio angolo
Corner Radius.info	Used to give rounded corners to the rectangle.	Usato per arrotondare gli  angoli del rettangolo.\nAccetta valori compresi tra 0 e la metà del lato del rettangolo.
Create MOP		Crea MOP
Create New File		Crea nuovo file
Create Surface		Crea una superficie
Create_New_File	Create New File	Crea nuovo file
CREATE_NEW_LAYER	Would you like to create a new layer?	Volete creare un nuovo Livello?
Current document		Documento corrente
Current Test		Prova corrente
Custom		Personalizzato
Custom File Footer		Piè di pagina pers.
Custom File Footer.info	A multi line gcode script that will be inserted into the final gcode post footer section.	GCode personalizzato che verrà inserito nella sezione piè di pagina dopo il GCode generato (multilinea).
Custom File Header		Intestazione pers.
Custom File Header.info	A multi line gcode script that will be inserted into the final gcode post header section.	GCode personalizzato che verrà inserito nella sezione intestazione di pagina prima del GCode generato (multilinea).
Custom Filler		Riempitivi personalizzati
Custom MOP Footer		Post ambolo pers. (MOP)
Custom MOP Footer.info	A multi line gcode script that will be inserted into the final gcode post after the machine operation.	GCode personalizzato che verrà inserito alla fine del GCode generato per la MOP (multilinea). 
Custom MOP Header		Intestazione pers. (MOP)
Custom MOP Header.info	A multi line gcode script that will be inserted into the final gcode post before the machine operation.	GCode personalizzato che verrà inserito all'inizio del GCode generato per la MOP (multilinea). 
Custom Script		Script personalizzato
Custom Script.info	Custom GCode script used for drilling.	Script personalizzato di GCode utilizzato per la foratura.
Cut		Taglia
Cut Direction		Direzione di Taglio 
Cut Direction.info	Direction of long profile cut.	Direzione del taglio per lunghi profili.
Cut Feedrate		Avanzamento
Cut Feedrate.info	The feed rate to use when cutting.	La velocità di avanzamento da utilizzare durante il taglio.
Cut Ordering		Ordinamento del Taglio 
Cut Ordering.info	Controls whether to cut to depth first or all cuts on this level first.	Controlla se tagliare prima in profondità o prima questo Livello di taglio.
Cut toolpath color		Colore PU proc. 
Cut Velocity		Velocità di Taglio 
Cut Velocity.info		Velocità di Taglio.info
Cut Width		Larghezza taglio
Cut Width Color		Colore della Larghezza di Taglio
Cut Width Color.info	The color used to display toolpath cut widths.	Il colore utilizzato per visualizzare la "Larghezza di Taglio" del PU.
Cut Width.info	The total width of the cut.\r\nCutWidth > ToolDiameter will result in multiple stepovers.	La larghezza totale del taglio.\nLarghezza di taglio > Diametro Utensile genererà più passate laterali.
Cutter Comp Left		Comp. Fresa Sinistra
Cutter Comp Left.info	Cutter radius compensation = left.	Compensazione del raggio utensile = sinistra.
Cutter Comp Off		Comp. Fresa Off
Cutter Comp Off.info	Cutter radius compensation off.	Compensazione del raggio utensile Off.
Cutter Comp Right		Comp. Fresa Destra
Cutter Comp Right.info	Cutter radius compensation = right.	Compensazione del raggio utensile = destra.
Cutting Depth		Profondità di taglio
CW		CW
DATA_MODIFIED	Data has been modified.\n\nDo you wish to save the changes?	I Dati sono stati modificati. Volete salvare le modifiche?
Debugging		Debug
DebugPolylineOffsets		Debug Offset Polilinee
DebugPolylineOffsets.info	Used for generating raw offset polylines for debugging	Utilizzato per la generazione di polilinee grezze per il debug
Default		Predefinito
Default Font Family		Famiglia del Carattere predefinito 
Default Font Family.info	This is the font used when no font is specified for text drawing objects.	Questo è il carattere usato quando nessun carattere viene specificato per gli oggetti di disegno del testo.
Default GCode Extension		Estensione Predefinita del GCode
Default GCode Extension.info	A default file extension used when gcode files are produced.	Estensione del file predefinita utilizzata quando viene generato un file GCode.
Default Layer Color		Colore predefinito del livello 
Default Layer Color.info	The color to use when new layers are inserted into a drawing.	Colore da utilizzare per i nuovi livelli inseriti in un disegno.
Default Post Processor		Post Processor predefinito
Default Stock Color		Colore predefinito del materiale
Default Stock Color.info	The default color to use to display stock objects.	Il colore predefinito da utilizzare per visualizzare il "Grezzo".
Defines the size of the teeth. Must be the same for gears that mesh. Large values have less backlash.		Definisce la dimensione dei denti. Deve essere lo stesso per ingranaggi che ingranano. Grandi valori hanno meno gioco.
Degenerate Tolerance		Tolleranza degenerata
Degenerate Tolerance.info	Distance to use in silhouette degenerate test.	Distanza da utilizzare per il test di silhouette degenerate.
Degree		Grado
Degree.info	1=Linear,2=Quadratic,3=Cubic,etc...	1 = Lineare, 2 = Quadratica, 3 = Cubica, ecc ..
degrees		Gradi
Delete		Elimina
DELETE_CONFIRM	Delete '{0}'?	Eliminare '{0}'?
DELETE_CONFIRM2	Delete {0} {1}s?	Eliminare {0} {1} s?
DELETE_ENTITIES	Delete selected entities	Eliminare le entità selezionate?
DELETE_ENTITY	Delete entity 'ID={0}'?	Eliminare entità 'ID = {0}'?
DELETE_LAYER	Delete layer '{0}'	Eliminare Livello '{0}'?
DELETE_LAYERS	Delete selected layers	Eliminare i livelli selezionati?
Delete_MachineOp	Delete MachineOp	Eliminare MOP?
DELETE_MOP	Delete machine op {0}?	Eliminare MOP {0}?
DELETE_MOPS	Delete selected machine ops?	Eliminare MOP selezionate?
DELETE_PART	Delete part {0}?	Eliminare parte {0}?
Delete_Part2	Delete part	Eliminare Parte
DELETE_PARTS	Delete selected parts	Eliminare parti selezionate
Density		Densità
Density.info	Informational.	Informazione
Depth		Profondità
Depth First		Prima la Profondità
Depth Increment		Incremento di Profondità
Depth Increment.info	Depth increment of each machining pass.	Incremento di profondità per ogni passaggio di lavorazione.
Depth Increment.info:MOPDrill	Used for spiral drilling only. Depth increment of each spiral cut.	Utilizzato solo per la perforazione a spirale. Incremento di profondità di ogni taglio a spirale.
Description		Descrizione
Description.info		Description.info
Destination		Destinazione
Diagnostic Level		Livello di diagnostica
Diagnostic Level.info	An integer number used to control the number of information messages displayed in the message pane at the bottom of the CamBam interface.  Typical values are 0 to 4, where 0 displays little or no messages and 4 displays reams of diagnostic information.	Numero intero utilizzato per controllare il numero di messaggi informativi visualizzati nel riquadro messaggio nella parte inferiore di CamBam. Valori tipici vanno da 0 a 4, dove 0 visualizza pochi o nessun messaggio e 4 mostra elenchi di informazioni di diagnostica.
Diameter		Diametro
Diameter.info	The diameter of the circle.	Diametro del cerchio.
Diameter.info:ToolDefinition	The tool diameter.  Used for calculating toolpath offsets.	Diametro dell'utensile. Utilizzato per calcolare l'offset del PU.
Diametral pitch		Passo diametrale
Diametral Pitch		Passo diametrale
Direction		Direzione
Direction.info	Describes the winding direction for closed polylines.	Descrive il senso di rotazione per le polilinee chiuse.
Display		Visualizza
Display Mode		Modalità di visualizzazione
Display Mode.info	Controls the method used to display the 3D drawing view.\r\nChanging this option requires CamBam to be restarted.	Controlla il metodo utilizzato per visualizzare la vista 3D del disegno. La modifica di questa opzione richiede che CamBam venga riavviato.
Display Test Shapes		Forme di visualizzazione di prova
Distance		Distanza
Distance Absolute		Distanza assoluta
Distance Absolute.info	Code used for absolute distance mode	Codice utilizzato per la modalità distanza assoluta
Distance between offset fill lines.		Distanza tra linee di riempimento
Distance between points (in drawing units) that will be joined.		Distanza tra i punti (in unità di disegno), che verranno uniti.
Distance Incremental		Distanza incrementale
Distance Incremental.info	Code used for incremental distance mode	Codice utilizzato per la modalità distanza incrementale
Distance Mode		Modalità distanza
Distance Mode.info	GCode distance mode (absoulte or relative), used to determine X, Y and Z coordinates.  This affects G90/G91 codes	GCode per modalità distanza (Assoluta o Relativa), utilizzati per determinare X, Y e Z. Questo riguarda i codici G90/G91 
Distance to extrude the selected objects.		Distanza per l'estrusione degli oggetti selezionati.
Distance to keep clear between boundary shapes.		Le distanze per tenersi discosta tra il contorno delle figure.
Divers		Diversi
Divide Geometry		Dividi geometria
Dot Product		Dot Product
Down Left		In basso a Sinistra
Down Right		In basso a Destra
Download latest translations		Scarica ultime traduzioni
Drag		Trascinare
Drag mouse around center point to rotate - Rotation Axis = {0}, Angle = {1}°\nPress X,Y or Z to change axis		Trascinare il mouse intorno al punto centrale per ruotare - Asse di rotazione = {0}, Angolo = {1} ° Premere X, Y o Z per cambiare l'asse
Drag Point		Trascinare Punti
Drag point list points, press enter or middle mouse to end, ESC to cancel		Trascinare  punto o elenco di punti, premere INVIO o centrale del mouse per finire, ESC per annullare
Drag polyline points, press enter or middle mouse to end, ESC to cancel		Trascinare i punti polilinea, premere INVIO o centrale del mouse per finire, ESC per annullare
Drag rectangle points, press enter or middle mouse to end, ESC to cancel		
DRAG_ENTITY_1	SHIFT+arrow moves 1 grid unit, CTRL+SHIFT+arrow moves 1 major grid unit	MAIUSC + freccia si muove 1 unità di rete, CTRL + MAIUSC + freccia si muove di 1 unità principale di griglia
DRAG_MACHINING_ORIGIN	Drag machining origin	Trascinare l'origine di lavorazione
DRAG_MODE	Drag Mode	Modalità trascinamento
DRAG_POINT	Drag Point	Trascinare Punti
DRAG_POINT1	SHIFT+arrow moves 1 grid unit, CTRL+SHIFT+arrow moves 1 major grid unit	MAIUSC + freccia si muove 1 unità di rete, CTRL + MAIUSC + freccia si muove di 1 unità principale di griglia
DRAG_START_POINT	Drag start point	Trascinare il punto di partenza
Draw		Disegno
Draw a Circle		Disegna un cerchio
Draw a Point List		Disegna un Elenco di Punti
Draw a Polyline		Disegna una polilinea
Draw a Rectangle		Disegna un rettangolo
Draw Text		Disegna testo
Draw_a_Circle	Draw a Circle	Disegna un cerchio
Draw_a_Point_List	Draw a Point List	Disegna un Elenco di Punti
Draw_a_Polyline	Draw a Polyline	Disegna una polilinea
Draw_a_Rectangle	Draw a Rectangle	Disegna un rettangolo
DRAW_RECTANGLE_1	Enter first rectangle point or esc	Inserisci il primo punto del rettangolo  o ESC
DRAW_RECTANGLE_2	Enter second rectangle point or esc	Inserisci il secondo punto del rettangolo  o ESC
Draw_Text	Draw Text	Disegna testo
Drawing		Disegno
Drawing Template		Disegno da modello
Drawing Template.info	Filename of a CamBam drawing (.cb file) to be used as a template for new drawings.	Nome file di un disegno CamBam (file. Cb) da utilizzare come modello per nuovi disegni.
drawing units		Unità di disegno
Drawing Units		Unità di disegno
Drawing Units.info	The unit of distance used within the drawing.	L'unità di disegno impiegata all'interno del disegno.
Drawing Units.info:CamBamConfig	This sets the drawing units to be used for new drawings.	Imposta le unità di disegno da utilizzare per nuovi disegni.
Drawing Units.info:DrawingGrid		Unità di disegno
DrawingTemplate		Disegno da Modello
DrawingTemplate.info	Filename of a CamBam drawing (.cb file) to be used as a template for new drawings.	Nome di un disegno CamBam (file. Cb) da utilizzare come modello per nuovi disegni.
Drill		Foratura 
Drill Dwell		Foratura con Pausa
Drill Dwell.info	Rule for a drill with dwell canned cycle.	Regola per una foratura con pausa.
Drill Lead Out		Lead Out - Foratura
Drill Lead Out.info	For spiral drilling only.  If True, then move toward or away from the center of the hole before retracting.	Solo per la foratura a spirale. Se Vero, allora sposta verso o lontano dal centro del foro prima della ritrazione.
Drill Lead Out.info:CAMStyle	For spiral drilling only.  Controls how to move away at the bottom of the cut before retracting.	Solo per la foratura a spirale. Controlla come allontanarsi dal fondo del taglio prima della ritrazione.
Drill Peck		Foratura con ritrazione
Drill Peck.info	Rule for a peck drill canned cycle.	Regola per una foratura con rottura truciolo.
Drill.info	Rule for a normal drill canned cycle.	Regola per una foratura normale.
Drilling		Foratura
Drilling Method		Metodo di foratura
Drilling Method.info	Method used to generate the drilling instruction.	Metodo utilizzato per generare le istruzioni di foratura.
Dwell		Pausa
Dwell.info	The time to pause at the bottom of the drill cycle.	Il tempo di pausa alla fine del ciclo di foratura.
DXF_SECTIONS_READ	{0} sections read from {1}	{0} sezioni letti dal {1}
DXF_UNHANDLED_ENTITY	unhandled entity : {0}	entità non gestita: {0}
DXF_UNHANDLED_EXTRUSION	Unhandled extrusion value {0} at {1}	Valore estrusione non gestita {0} a {1}
DXF_UNKNOWN_POLY_ENTITY	Line {0} : unknown polyline entity : {1}	Linea {0}: entità polilinea sconosciuto: {1}
DXFFiles	DXF Files	File DXF
Ebauche.OptimisationMode		Progetto. Modalità Ottimizzazione
ebauche1-A.Additive		Progetto1-A.Additive
ebauche1-A.Profile3DMethod		Progetto1-A.Profile3DMethod
